No,Position Level,Position Title,State,Age,Years of Exp.,Industry,Qualification,Salary (Rp)
1,CEO  /  GM  /  Director  /  Senior Manager,Director,Yogyakarta,70,9,Services,Associate Degree,18500000
2,CEO  /  GM  /  Director  /  Senior Manager,Director,Jawa Barat,65,37,Services,Master's Degree / Post Graduate Degree,35000000
3,CEO  /  GM  /  Director  /  Senior Manager,Director,Jakarta Raya,65,41,Automotive / Heavy Industry,Master's Degree / Post Graduate Degree,15000000
4,CEO  /  GM  /  Director  /  Senior Manager,Director,Jakarta Raya,65,30,Services,Master's Degree / Post Graduate Degree,10000000
5,CEO  /  GM  /  Director  /  Senior Manager,Director,Jakarta Raya,63,33,Energy / Electricity / Water / Natural Resources,Master's Degree / Post Graduate Degree,45000000
6,CEO  /  GM  /  Director  /  Senior Manager,Director,Jakarta Raya,63,39,Finance / Securities / Insurance / Real Estate,Master's Degree / Post Graduate Degree,15000000
7,CEO  /  GM  /  Director  /  Senior Manager,Director,Jakarta Raya,63,26,Manufacturing,Bachelor's Degree,12700000
8,CEO  /  GM  /  Director  /  Senior Manager,Director,Jakarta Raya,62,41,Automotive / Heavy Industry,Master's Degree / Post Graduate Degree,35000000
9,CEO  /  GM  /  Director  /  Senior Manager,Director,Banten,62,36,Manufacturing,Master's Degree / Post Graduate Degree,12000000
10,CEO  /  GM  /  Director  /  Senior Manager,Director,Jakarta Raya,61,35,Finance / Securities / Insurance / Real Estate,Master's Degree / Post Graduate Degree,14000000
11,CEO  /  GM  /  Director  /  Senior Manager,Director,Jakarta Raya,60,33,Services,Bachelor's Degree,15000000
12,CEO  /  GM  /  Director  /  Senior Manager,Director,Yogyakarta,59,31,Manufacturing,Master's Degree / Post Graduate Degree,30000000
13,CEO  /  GM  /  Director  /  Senior Manager,Director,Jakarta Raya,59,34,Services,Bachelor's Degree,25000000
14,CEO  /  GM  /  Director  /  Senior Manager,Director,Jakarta Raya,59,35,Construction,Master's Degree / Post Graduate Degree,8500000
15,CEO  /  GM  /  Director  /  Senior Manager,Director,Jakarta Raya,58,22,Wholesale / Retail / Trading,Master's Degree / Post Graduate Degree,25000000
16,CEO  /  GM  /  Director  /  Senior Manager,Director,Jakarta Raya,57,35,Energy / Electricity / Water / Natural Resources,Associate Degree,30000000
