State,Position Title,count
Aceh,Geologist,1
Bali,Operation Manager,4
Bali,Personal Assistant,4
Bali,Assistant Manager,2
Bali,Director,2
Bali,Operational Manager,2
Bali,Sales & Marketing Executive,2
Bali,Store Manager,2
Bali,Accounting Staff,1
Bali,Architect,1
Bali,Branch Manager,1
Bali,Consultant,1
Bali,Credit Analyst,1
Bali,Engineer,1
Bali,Finance Manager,1
Bali,Finance Staff,1
Bali,HR Manager,1
Bali,IT Supervisor,1
Bali,Lecturer,1
Bali,Marketing Executive,1
Bali,Medical Representative,1
Bali,Sales & Marketing Manager,1
Bali,Senior Auditor,1
Bali,Staff,1
Bali,Supervisor,1
Bali,System Engineer,1
Bangka Belitung,Accounting Officer,1
Bangka Belitung,Teller,1
Banten,Purchasing,6
Banten,Account Manager,5
Banten,Administration,5
Banten,Engineering Staff,5
Banten,Finance,5
Banten,Finance Supervisor,5
Banten,Operation Manager,5
Banten,Project Manager,5
Banten,Sales Manager,5
Banten,Credit Analyst,4
Banten,Engineer,4
Banten,General Affair,4
Banten,HR Manager,4
Banten,IT Administrator,4
Banten,Product Manager,4
Banten,Sales & Marketing Executive,4
Banten,Senior Auditor,4
Banten,Teacher,4
Banten,Administration Officer,3
Banten,Business Development,3
Banten,Business Development Manager,3
Banten,Electrical Engineer,3
Banten,Finance Manager,3
Banten,General Manager,3
Banten,Geologist,3
Banten,IT Supervisor,3
Banten,Lecturer,3
Banten,Manager,3
Banten,Network Engineer,3
Banten,Operational Manager,3
Banten,Project Engineer,3
Banten,Purchasing Staff,3
Banten,Relationship Manager,3
Banten,Sales & Marketing,3
Banten,Sales Engineer,3
Banten,Section Head,3
Banten,Staff Engineer,3
Banten,Store Manager,3
Banten,System Engineer,3
Banten,Account Executive,2
Banten,Area Sales Manager,2
Banten,Assistant Manager,2
Banten,Auditor,2
Banten,Credit Marketing Officer,2
Banten,Customer Service,2
Banten,Engineering,2
Banten,Finance & Accounting,2
Banten,IT,2
Banten,IT Manager,2
Banten,IT Support,2
Banten,Legal Officer,2
Banten,Manager Operations,2
Banten,Marketing,2
Banten,Marketing Executive,2
Banten,Marketing Manager,2
Banten,Personal Assistant,2
Banten,Process Engineer,2
Banten,Programmer,2
Banten,Sales & Marketing Manager,2
Banten,Secretary,2
Banten,Site Engineer,2
Banten,Staff,2
Banten,Staff Accounting,2
Banten,Supervisor,2
Banten,Technical Support,2
Banten,Accounting,1
Banten,Accounting Manager,1
Banten,Accounting Staff,1
Banten,Accounting Supervisor,1
Banten,Admin,1
Banten,Administrasi,1
Banten,Architect,1
Banten,Area Manager,1
Banten,Branch Manager,1
Banten,Business Analyst,1
Banten,Director,1
Banten,Finance & Accounting Manager,1
Banten,Graphic Designer,1
Banten,IT Support Staff,1
Banten,Internal Auditor,1
Banten,Mechanical Engineer,1
Banten,Medical Representative,1
Banten,Production Manager,1
Banten,Production Supervisor,1
Banten,Quantity Surveyor,1
Banten,Relationship Officer,1
Banten,Senior Staff,1
Banten,Team Leader,1
Banten,Teller,1
Bengkulu,Electrical Engineer,1
Gorontalo,Assistant Manager,1
Jakarta Raya,Accounting Officer,18
Jakarta Raya,Secretary,17
Jakarta Raya,Accounting Manager,16
Jakarta Raya,Business Analyst,16
Jakarta Raya,Finance Supervisor,16
Jakarta Raya,IT Manager,16
Jakarta Raya,Marketing,16
Jakarta Raya,Accountant,15
Jakarta Raya,Finance & Accounting Manager,15
Jakarta Raya,Finance Staff,15
Jakarta Raya,Graphic Designer,15
Jakarta Raya,Legal Officer,15
Jakarta Raya,Product Manager,15
Jakarta Raya,Account Manager,14
Jakarta Raya,Business Development,14
Jakarta Raya,Business Development Manager,14
Jakarta Raya,Director,14
Jakarta Raya,Teller,14
Jakarta Raya,Account Executive,13
Jakarta Raya,Accounting,13
Jakarta Raya,Accounting Supervisor,13
Jakarta Raya,Administrasi,13
Jakarta Raya,Consultant,13
Jakarta Raya,Customer Service,13
Jakarta Raya,Finance & Accounting,13
Jakarta Raya,Finance Manager,13
Jakarta Raya,IT Staff,13
Jakarta Raya,Network Engineer,13
Jakarta Raya,Operational Manager,13
Jakarta Raya,Sales Manager,13
Jakarta Raya,Senior Auditor,13
Jakarta Raya,Supervisor,13
Jakarta Raya,System Engineer,13
Jakarta Raya,Account Officer,12
Jakarta Raya,IT,12
Jakarta Raya,Marketing Executive,12
Jakarta Raya,Personal Assistant,12
Jakarta Raya,Quantity Surveyor,12
Jakarta Raya,Relationship Manager,12
Jakarta Raya,Site Engineer,12
Jakarta Raya,Administration,11
Jakarta Raya,Auditor,11
Jakarta Raya,Branch Manager,11
Jakarta Raya,Credit Analyst,11
Jakarta Raya,IT Supervisor,11
Jakarta Raya,IT Support Staff,11
Jakarta Raya,Internal Auditor,11
Jakarta Raya,Sales & Marketing Executive,11
Jakarta Raya,Senior Staff,11
Jakarta Raya,Teacher,11
Jakarta Raya,Technical Support,11
Jakarta Raya,Administration Officer,10
